municipio,departamento
San Juan Ixcoy,Huehuetenango
San Juan La Laguna,Sololá
San Juan Ostuncalco,Quetzaltenango
San Juan Sacatepéquez,Guatemala
San Juan Tecuaco,Santa Rosa
San Lorenzo,Suchitepéquez
San Lorenzo,San Marcos
San Lucas Sacatepéquez,Sacatepéquez
San Lucas Tolimán,Sololá
San Luis,Petén
San Luis Jilotepeque,Jalapa
San Manuel Chaparrón,Jalapa
San Marcos,San Marcos
San Marcos La Laguna,Sololá
San Martín Jilotepeque,Chimaltenango
San Martín Sacatepéquez,Quetzaltenango
San Martín Zapotitlán,Retalhuleu
San Mateo,Quetzaltenango
San Mateo Ixtatán,Huehuetenango
San Miguel Acatán,Huehuetenango
San Miguel Chicaj,Baja Verapaz
San Miguel Dueñas,Sacatepéquez
San Miguel Ixtahuacán,San Marcos
San Miguel Panán,Suchitepéquez
San Miguel Siguilá,Quetzaltenango
San Pablo,San Marcos
San Pablo Jocopilas,Suchitepéquez
San Pablo La Laguna,Sololá
San Pedro Ayampuc,Guatemala
San Pedro Carchá,Alta Verapaz
San Pedro Jocopilas,Quiché
San Pedro La Laguna,Sololá
San Pedro Necta,Huehuetenango
San Pedro Pinula,Jalapa
San Pedro Sacatepéquez,Guatemala
San Pedro Sacatepéquez,San Marcos
San Rafael la Independencia,Huehuetenango
San Rafael Las Flores,Santa Rosa
San Rafael Petzal,Huehuetenango
San Rafael Pie de La Cuesta,San Marcos
San Raymundo,Guatemala
San Sebastián,Retalhuleu
San Sebastián Coatán,Huehuetenango
San Sebastián Huehuetenango,Huehuetenango
San Vicente Pacaya,Escuintla
Sanarate,El Progreso
Sansare,El Progreso
Santa Ana,Petén
Santa Ana Huista,Huehuetenango
Santa Apolonia,Chimaltenango
Santa Bárbara,Huehuetenango
Santa Bárbara,Suchitepéquez
Santa Catalina Ixtahuacán,Sololá
Santa Catarina Barahona,Sacatepéquez
Santa Catarina la Tinta,Alta Verapaz
Santa Catarina Mita,Jutiapa
Santa Catarina Palopó,Sololá
Santa Catarina Pinula,Guatemala
Santa Clara La Laguna,Sololá
Santa Cruz Balanyá,Chimaltenango
Santa Cruz Barillas,Huehuetenango
Santa Cruz del Quiché,Quiché
Santa Cruz La Laguna,Sololá
Santa Cruz Muluá,Retalhuleu
Santa Cruz Naranjo,Santa Rosa
Santa Cruz Verapaz,Alta Verapaz
Santa Eulalia,Huehuetenango
Santa Lucía Cotzumalguapa,Escuintla
Santa Lucía la Reforma,Totonicapán
Santa Lucia Milpas Altas,Sacatepéquez
Santa Lucia Utatlán,Sololá
Santa María Chiquimula,Totonicapán
Santa María de Jesús,Sacatepéquez
Santa María Ixhuatán,Santa Rosa
Santa María Visitación,Sololá
Santa Rosa de Lima,Santa Rosa
Santiago Atitlán,Sololá
