,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
39,Cobán,1601,Alta Verapaz,215796.334,224104.256,232703.176,241568.675,250675.382,259997.314,269555.671,279372.234,289420.552,299673.123,310101.822
40,Colomba,917,Quetzaltenango,40253.5429,40467.3837,40684.0438,40894.2325,41089.2876,41261.1456,41415.5813,41557.9483,41680.4843,41776.0195,41837.9053
41,Colotenango,1319,Huehuetenango,25904.382,26303.1566,26700.7692,27089.2881,27461.1109,27808.9816,28138.142,28453.5968,28748.2762,29015.432,29248.6783
42,Comalapa,404,Chimaltenango,42225.5679,42933.3926,43644.1882,44353.0788,45055.3566,45746.5159,46428.8146,47104.3741,47768.8438,48418.0569,49048.0879
43,Comapa,2211,Jutiapa,38846.8544,14760.4161,27669.9529,28299.2902,28954.6324,29625.555,30318.9795,31041.8772,31783.7416,32533.9549,33281.8445
44,Comitancillo,1204,San Marcos,59358.828,60896.792,62494.7774,64130.8026,65782.6626,67428.0646,69081.5016,70757.5869,72433.8782,74087.919,75696.985
45,Concepción,708,Sololá,6244.11829,6458.93394,6677.64704,6899.55988,7123.9471,7350.0759,7578.26169,7808.80412,8040.95891,8273.9691,8507.0876
46,Concepción,1322,Huehuetenango,18708.2755,18862.6266,19013.0574,19154.002,19280.2951,14637.0014,15035.0024,15381.0021,15589.0015,15921,16241.0001
47,Concepción Chiquirichapa,911,Quetzaltenango,17774.243,17993.016,18215.2331,18436.7577,18653.6119,18861.9862,19064.3328,19263.0012,19454.2576,19634.5422,19800.4621
48,Concepción Las Minas,2008,Chiquimula,12853.1658,12991.9076,13138.8989,13291.0942,13445.5907,13599.5889,13754.6518,13912.2633,14069.7075,14224.3889,14373.8348
49,Concepción Tutuapa,1206,San Marcos,57059.7891,57960.3877,58894.1902,59839.4046,60774.8639,61680.1135,62568.8615,63454.3325,64316.4297,65135.7398,65893.5296
50,Conguaco,2213,Jutiapa,27473.6267,9908.7411,19327.3215,19788.8552,20269.5896,20762.2957,21271.8481,21803.2064,22349.0557,22901.9761,23454.4505
51,Cubulco,1504,Baja Verapaz,58247.5641,60168.858,62191.6907,64302.6155,66487.6877,68732.4766,71047.7408,73444.6574,75908.514,78424.009,80975.454
52,Cuilapa,601,Santa Rosa,38978.7444,40115.5872,41324.1537,42594.0735,43914.4762,45273.996,46681.7251,48147.1222,49658.5962,51203.96,52770.603
53,Cuilco,1304,Huehuetenango,57066.8424,58148.0299,59233.5256,60305.6345,61347.2296,62341.6818,63300.2367,64233.8082,65126.0791,65961.2356,66724.0617
54,Cunén,1410,Quiché,34389.4699,35394.6143,36423.9425,37473.4169,38539.0717,39616.9821,40708.684,41815.6539,42933.9942,44059.8775,45189.5455
55,Cuyotenango,1002,Suchitepéquez,50853.0108,52001.9175,53186.5157,54396.8157,55622.8982,26721.0021,27306.3585,27899.2186,28495.9997,29091.5798,29681.7665
56,Dolores,1708,Petén,47204.3535,48539.9184,49825.6203,51065.8633,52264.9071,40604.4246,41457.7475,42279.8353,43073.7671,43842.4851,44588.8321
57,El Adelanto,2209,Jutiapa,8107.38982,2873.52346,5543.83503,5586.69445,5632.16045,5678.07357,5725.6725,5776.13626,5827.3604,5877.3465,5924.1947
58,El Asintal,1109,Retalhuleu,37750.573,38971.7518,40238.6138,41543.5028,42878.4599,44235.219,45619.7767,47038.3029,48482.3815,49943.2824,51411.9084
59,El Chal,1714,Petén,0,0,0,0,0,12822.9978,13091.9142,13351.5281,13602.2366,13844.998,14080.6852
60,El Chol,1506,Baja Verapaz,9004.0892,9095.6328,9193.7445,9295.8243,9399.3877,9502.0884,9605.1989,9709.9175,9813.9753,9915.2244,10011.6605
61,El Estor,1803,Izabal,69150.323,72444.412,75884.598,79467.562,83189.109,87044.63,91043.234,95194.726,99494.076,103935.551,108512.835
62,El Jícaro,205,El Progreso,10813.2082,10882.3504,10960.3383,11043.9189,11129.9457,11215.3662,11302.1046,11391.9995,11482.0642,11569.447,11651.3888
63,El Palmar,919,Quetzaltenango,27756.3783,28318.9118,28894.0312,29475.3423,30056.4828,30631.1659,31203.1739,31776.1948,32343.9741,32900.3403,33439.2003
